,segment,avg_grade,climb_category,climb_category_desc,distance,elev_difference,name,points,resource_state,starred,s_lat,s_lng,e_lat,e_lng,country_code,loc_name,efforts_log,hotel_distances,mean_hotel_distances,std_hotel_distances,median_hotel_distances,25_hotel_distances,75_hotel_distances,num_trainings,regional_code
3616,1281485,8.0,1,4,1272.0,101.4,Via Sorrivoli Climb,mkflGe_uiAFABC\BZJf@\RDFEVJN?ZDNJLLH@^ERBFE\@TC`@Gf@]V[FUPWHSTSJQTm@Da@VWNIrAa@NKLU@IMeA[q@OMKW?s@PQRe@n@_AHQVMJCf@e@PAVKd@HX\FIBW?[C_@?IRg@KMABDCHWBy@D?HLPt@LTNFHEDKAq@AMCCEy@ES@SDIN@\Rd@z@\PZAZU?CRQ\e@N_@VW\e@Te@HsAEeB,2,False,44.1107998509,12.2368392628,44.1041169595,12.243347726800001,it,Cesena,2.85003325769,79,36.915367779899995,18.0127683646,34.7014194635,3.14084416196,3.5173332377800004,708,EMR
3617,3914062,8.5,1,4,1175.9,99.4,"Monte detto ""DEI FERITI"" da San Vittore-bivio per San Carlo",yrdlGogliAdBfAP\BVGdB?r@ErAAlBIpBCnFC`BC~CFfB?f@Dd@Jf@LRPHXFHBVARB`@NPPJXDZWrBBVLR\\JNx@dCJv@J`@PlABx@JpAF~A?fBLb@JJPFr@B`A@RDDF,2,False,44.101733,12.192087,44.098528,12.180267,it,Bertinoro,2.67394199863,63,37.797509306,16.7358441054,35.446608325599996,4.97613465241,5.5815809473,472,EMR
3618,8250979,3.0,2,3,5439.8,165.0,Garampa - Montereale,osjlGosuiAj@Vf@`@RZ^z@j@~AZ`@bAh@fAVV@vBErCQt@O~DuAxAq@f@Kb@B^Px@r@tAzAZh@J^b@xBL^b@r@hApA^f@|AxCdA|AdDvDxBjCxAjBRPJDTATK~AqAlAiAl@{@`@WZC~@Jn@Eh@?n@ChCSZAZDZHXLlB~AhCtAlAf@f@LpAb@~BjAbBdA\d@Vh@Xb@^XdCtAzAjAd@Th@JpAb@jAn@~ErBl@Z`DpB^PlAVnALhC^r@?~AM`@?pAFfABdCN~APpAFnA@`ASz@Uh@?t@Pf@Tp@b@lA`A`@VdDnAn@NVBlB@pBJVFVJv@p@x@~@b@Vf@BlDMfCOdCCjFOb@F~Ar@nCn@tBj@tARxAXz@HV?TEv@Ut@OfA[PAf@@ZEv@O\Ab@Pf@ZlBzBlBnBt@f@fBv@,2,False,44.132563,12.240082,44.088377,12.223842,it,Cesena,2.82801506422,78,36.8638622974,18.7935751824,33.877026056999995,0.741493301199,1.18767191628,673,EMR
3619,6528404,9.2,1,4,897.4,82.2,via valirano,{yglGkpviAX_@LYp@qBRy@D]?]IoA@_@v@}DPu@Pa@LSf@c@hAoAVOt@YVQLWDu@H[TYb@]NQHW?]CKa@{@Cg@D]p@wBBYAm@@UHQx@s@fAoAFCz@sANM,2,False,44.118226,12.244706,44.11429,12.253299,it,Cesena,2.60638136511,79,36.7684920233,18.4192280298,34.1614530757,2.35883586527,2.67226686351,404,EMR
3620,8748197,9.1,1,4,983.9,90.0,Madonna del Monte (Via Cimabue),usklGs{xiATFJJFLAt@HZ|@ZXRZNLSPgBToAd@sAXWPGb@?`@Bn@ITDd@PRTL`@@bAFVJJXF`C?v@FlA^|@b@VTNTPb@l@xBRbAn@lBHPd@d@NDDAPSZeA\wA,2,False,44.137715,12.256749,44.131683,12.254829,it,Cesena,2.14301480025,79,36.6124268482,19.2666101868,34.0707283843,0.783683080898,0.958192043934,139,EMR
3621,7349217,8.6,1,4,1160.2,114.1,Via Casetta Ufficiale,aielGybhiA[H_AOa@AWEuASMAq@Fa@CQFGFKX@PHHd@HN?^NT\@JELQ@WGODy@ZWPq@L[B[T{@\iA\IHu@LS?_BO{Bq@WEO@YPUv@KJEBg@N_@MUEQKQASG{@]YQKQMe@MMw@[g@OmAiAeB_CKU,2,False,44.105294,12.170851,44.113345,12.171365,it,Cesena,2.51587384371,60,38.256391277199995,16.4222735818,36.3696500571,5.27715914106,6.11157484415,328,EMR
3622,1207256,6.5,1,4,1723.4,111.5,Via Sorrivoli Climb,_vblGmj{iAdEQh@Bx@Z\T`@ZLPhA`A~@j@f@J`@Kj@a@j@EjB`@p@HnAIvAc@hAQl@RjBpBvAn@HBjA?~BOf@Dz@R`@Pd@^HJF`@IhAQx@Eb@DjA\|@l@jAVTrAr@R^DbAElFOn@UV_A`@c@Xs@hAqAfDUbAe@|C,2,False,44.0920037,12.2693527,44.0841726,12.2602617,it,Cesena,3.2263420871599995,86,36.45190298,18.068196691700003,36.6846960696,5.1296244098,5.35034959804,1684,EMR
3623,1740384,10.5,1,4,913.9,95.8,"Viale Delle Nazioni, 49 67 Climb",koplGiu|jAbC|B`@b@DJFlBJ^Vb@xBfC@HETk@v@yL`Sw@|@[\aClBcC`B,2,False,44.162623481800004,12.4400542304,44.1651179362,12.432460729,it,Savignano sul Rubicone,3.15956719323,90,35.9240546588,23.8794465596,34.2703965436,0.769193598328,1.29162212993,1444,EMR
3624,2223014,7.2,1,4,1139.3,81.7,Strada Statale 21 Climb,c|tmG}eyi@yAuBW[_@[w@y@[UOSYYg@s@oA}@|AhCK]k@Iu@@c@FmABMDKPQx@UdCQrCStAIXm@~@KX]bBg@zAS|@u@vBkBnE_@t@y@lAg@j@@RLEPQ,2,False,44.3489827429,7.0155142958,44.3541902364,7.01042971019,it,Pietraporzio,2.97358962343,23,68.6728219561,26.490072946799998,77.505991783,8.17604199799,8.23042785919,941,PIE
3625,10556215,10.1,5,HC,10135.5,1035.0,SALITA MORIGLIONE-SALSAS BLANCIAS,mctmGg{aj@CC@F@EJHh@~@DNMlAHzAD|AIdAEpAHl@Xh@?NCDEBEAIICG[uAAeACWKS][Mm@GOEAUAMCwAcBOEM@MLMZs@lAsAxAaAjBQPg@VONO`@y@jEWn@]|ASf@UZUn@KFUGW[I[AcACWEG[_@MEYGSKc@k@Qc@CQ?QBa@COKGWEYYu@c@i@KIKE[EEg@CMCOS_@OUa@KG[EYQMYCk@@cALq@CGGACFIZCl@Ot@CnABVNT\RRFTRPh@ZXJDRLD^T\FPZZHL@HBf@OhABHb@r@Hr@Rt@?F_@nBAbASlBFh@Vf@Nd@Ll@D^Nl@RdE?|@Cb@Mf@Uh@K^CLEfAS~@g@lBi@zDYjAGJEA?IJc@@mAF[Ic@AQJk@AYBa@Ci@D[AWHg@Ca@CsBBo@?aAGa@i@oBUc@Ws@IIe@eAGMSQMUIo@Ai@I[JcB@e@Im@O[Me@YwAKQE?IHBPNd@LbBIlBQpA@tADn@AbADRJX@R?REP?t@Iz@GxA@d@JXB^MbAFnAQ`AE`@_@l@CHCj@@h@AFEDEAAGEoA@c@LoAAy@WkBKwAUoACuACWEw@?yASgB_@_AC_@Dm@G_@M[UWIGWG_@?KG_@s@KMWO]e@KC]AUM[s@EEe@QIQIy@EOq@cAa@c@Ma@e@MW]I[OaAMsA[wBGW_@[Y{@Ea@Qq@?SBa@Q{@@oAGq@Ag@OiACMECEAKHUr@_@l@s@x@UP{@V_@EOLE?SQE?EBMl@Qh@Ot@InAKl@c@d@e@XYb@OLWPa@JKPI\o@f@MEKYKo@?[GMGAKHIJSLKA]QWDKHE?IGY}@Qa@s@i@SYOOOGIMEQBUJ]@OAWESKGMAQM[m@K[IISCGECGEUg@_@MUYSIWEAI?QHMDSPY`@KDQBa@Nm@f@_@PYRMBa@MM@CDCPFr@XlA?\CFEDMBK@k@JMCq@_@SEo@NKJAFDF`@BNL^l@T|@BTCd@_@bAGb@ATDZDT?HAFG?i@aAUk@OI_@FID_BhAGJETDjBMpAQjAQ^OBMCIm@]_@a@QIAUDECQa@[Kg@g@MYm@sB_@k@a@a@IW?IDOTU`AkBPy@Fg@?UE[e@cAa@{AG_@Ei@?_AH{AZ_CZqAB[Ae@GQMGK@KDKNOf@[b@]TUFWPW`@Sf@ERA\FpB?zAMjCETMXKJYRiBp@kA\gA`@UV_AjB_@f@Wn@_At@[D[?WEu@B}@ASCe@S]AG@MFQRYPQC]]EB?PX`@Vl@JHLDv@DDD?FEDUHq@`@u@TKAq@[YIW@]\g@RsA^cBx@{@l@m@h@c@d@OBUCc@Ne@GWD]TQ\CFG@GACEG_Ai@qBKe@_@iAAUBYGm@@GDGJGDELo@@GAGG?EBITMJMBKC?GBIHGXo@@GCCE?c@d@o@h@[?EDCR@`@A\CFEBEAEMCm@Gc@CEKBEPC`ABp@Fd@Mp@Cr@DRNTPb@`@n@DRA^GRCBaAHYC_Aq@CQTI?KIKe@IMEc@a@OCMIe@C]GOG,2,False,44.345033,7.0598800000000015,44.379932,7.055157,it,Sambuco,2.4166405073400004,29,66.6320534955,26.6303955925,75.7559057018,6.32793065495,6.35921522197,261,PIE
